id,code,affiliate_name,abbreviation,location,num_department,num_authors,SINTA_score_3yr,SINTA_score_overall
507,001046,Universitas Malikussaleh,UNIMAL,"KAB. ACEH UTARA - ACEH, ID",48,724,134.018,288.288
1092,031048,Universitas Bunda Mulia,UBM,"KOTA ADM. JAKARTA UTARA - DKI JAKARTA, ID",17,263,132.780,210.889
3,061002,Universitas Islam Sultan Agung,UNISSULA,"KOTA SEMARANG - JAWA TENGAH, ID",45,577,131.925,260.868
1061,031012,Universitas Nasional,UNAS,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",40,398,130.440,311.508
541,005004,Politeknik Negeri Bandung,POLBAN,"KOTA BANDUNG - JAWA BARAT, ID",43,601,125.896,248.404
2893,171006,Universitas Islam Riau,UIR,"KOTA PEKANBARU - RIAU, ID",45,596,125.061,226.324
493,001024,Universitas Palangka Raya,UPR,"KOTA PALANGKARAYA - KALIMANTAN TENGAH, ID",63,921,124.976,232.456
412,071003,Universitas Katolik Widya Mandala Surabaya,UKWMS,"KOTA SURABAYA - JAWA TIMUR, ID",40,399,123.869,275.910
1398,041008,Universitas Pasundan,UNPAS,"KOTA BANDUNG - JAWA BARAT, ID",43,524,123.710,270.430
479,051021,Universitas Alma Ata,UAA,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",20,178,123.238,182.282
413,005023,Politeknik Negeri Malang,POLINEMA,"KOTA MALANG - JAWA TIMUR, ID",50,714,122.316,287.842
525,001061,Universitas Pembangunan Nasional Veteran Jakarta,UPNVJ,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",40,703,119.574,235.171
448,011027,Universitas Muslim Nusantara Al-Washliyah,UMN AL-WASHLIYAH,"KOTA MEDAN - SUMATERA UTARA, ID",23,209,114.837,214.257
2106,071079,Universitas Nahdlatul Ulama Surabaya,UNUSA,"KOTA SURABAYA - JAWA TIMUR, ID",21,255,113.163,233.065
2530,091004,Universitas Muhammadiyah Makassar,UNISMUH MAKASSAR,"KOTA MAKASSAR - SULAWESI SELATAN, ID",58,772,113.013,218.398
